SOC,Current,Voltage,Power,Energy_Wh,Charge_level_based_on_SOC,Charge_level
61.86226557,8.530001833,384.8682711,3282.927058,13931.97868,11630.10593,13931.97868
61.86621464,8.530001833,384.8686006,3282.929869,13932.8906,11630.84835,13932.8906
61.87016372,8.530001833,384.8689301,3282.932679,13933.80253,11631.59078,13933.80253
61.87411279,8.530001833,384.8692596,3282.93549,13934.71446,11632.33321,13934.71446
61.87806187,8.530001833,384.869589,3282.9383,13935.62638,11633.07563,13935.62638
61.88201094,8.530001833,384.8699185,3282.94111,13936.53831,11633.81806,13936.53831
61.88596002,8.530001833,384.8702479,3282.94392,13937.45024,11634.56048,13937.45024
61.88990909,8.530001833,384.8705773,3282.94673,13938.36217,11635.30291,13938.36217
61.89385817,8.530001833,384.8709067,3282.949539,13939.2741,11636.04534,13939.2741
61.89780724,8.530001833,384.871236,3282.952349,13940.18603,11636.78776,13940.18603
61.90175632,8.530001833,384.8715653,3282.955158,13941.09796,11637.53019,13941.09796
61.90570539,8.530001833,384.8718946,3282.957967,13942.00989,11638.27261,13942.00989
61.90965447,8.530001833,384.8722239,3282.960776,13942.92182,11639.01504,13942.92182
61.91360354,8.530001833,384.8725532,3282.963584,13943.83376,11639.75747,13943.83376
61.91755262,8.530001833,384.8728825,3282.966393,13944.74569,11640.49989,13944.74569
61.92150169,8.530001833,384.8732117,3282.969201,13945.65762,11641.24232,13945.65762
61.92545077,8.530001833,384.8735409,3282.972009,13946.56956,11641.98474,13946.56956
61.92939984,8.530001833,384.8738701,3282.974817,13947.4815,11642.72717,13947.4815
61.93334892,8.530001833,384.8741992,3282.977625,13948.39343,11643.4696,13948.39343
61.93729799,8.530001833,384.8745284,3282.980432,13949.30537,11644.21202,13949.30537
61.94124707,8.530001833,384.8748575,3282.98324,13950.21731,11644.95445,13950.21731
61.94519614,8.530001832,384.8751866,3282.986047,13951.12925,11645.69687,13951.12925
61.94914522,8.530001832,384.8755157,3282.988854,13952.04119,11646.4393,13952.04119
61.95309429,8.530001832,384.8758447,3282.991661,13952.95313,11647.18173,13952.95313
61.95704337,8.530001832,384.8761738,3282.994467,13953.86508,11647.92415,13953.86508
61.96099244,8.530001832,384.8765028,3282.997274,13954.77702,11648.66658,13954.77702
61.96494152,8.530001832,384.8768318,3283.00008,13955.68896,11649.40901,13955.68896
61.96889059,8.530001832,384.8771607,3283.002886,13956.60091,11650.15143,13956.60091
61.97283967,8.530001832,384.8774897,3283.005692,13957.51285,11650.89386,13957.51285
61.97678874,8.530001832,384.8778186,3283.008498,13958.4248,11651.63628,13958.4248
61.98073782,8.530001832,384.8781475,3283.011304,13959.33675,11652.37871,13959.33675
61.98468689,8.530001832,384.8784764,3283.014109,13960.24869,11653.12114,13960.24869
61.98863597,8.530001832,384.8788053,3283.016914,13961.16064,11653.86356,13961.16064
61.99258504,8.530001832,384.8791341,3283.019719,13962.07259,11654.60599,13962.07259
61.99653412,8.530001832,384.879463,3283.022524,13962.98454,11655.34841,13962.98454
62.00048319,8.530001832,384.8797918,3283.025329,13963.89649,11656.09084,13963.89649
62.00443227,8.530001832,384.8801206,3283.028133,13964.80844,11656.83327,13964.80844
62.00838134,8.530001832,384.8804493,3283.030938,13965.72039,11657.57569,13965.72039
62.01233042,8.530001832,384.8807781,3283.033742,13966.63235,11658.31812,13966.63235
