,start,end,energy(J)
252,2017-11-21 15:26:16,2017-11-21 17:11:46,13754883.647724718
253,2017-11-21 18:01:27,2017-11-21 19:39:36,10538970.222457243
254,2017-11-22 05:29:56,2017-11-22 05:35:02,243149.75308641916
255,2017-11-22 06:10:11,2017-11-22 06:38:21,9765356.60705371
256,2017-11-22 07:15:11,2017-11-22 10:53:04,109863506.18160973
257,2017-11-24 14:17:49,2017-11-24 16:58:25,41491844.8769899
258,2017-11-25 07:42:10,2017-11-25 08:11:21,3749699.674553803
259,2017-11-25 08:49:36,2017-11-25 14:15:48,156786263.5370795
260,2017-11-29 18:42:12,2017-11-29 19:03:54,127673.95061728443
261,2017-11-29 20:32:03,2017-11-29 20:42:59,952401.2920329302
262,2017-11-30 09:18:02,2017-11-30 09:27:14,894533.9708201943
263,2017-11-30 17:53:32,2017-11-30 18:05:36,1017555.843535293
264,2017-11-30 20:10:20,2017-11-30 20:46:52,3744992.3603028646
265,2017-12-01 07:03:37,2017-12-01 08:18:10,3191372.7499862304
266,2017-12-01 09:50:51,2017-12-01 09:59:28,891902.1371590691
267,2017-12-01 18:08:45,2017-12-01 18:19:38,938712.612960475
268,2017-12-01 18:50:46,2017-12-01 19:22:26,1080238.6531982934
269,2017-12-01 20:41:06,2017-12-01 20:53:08,1071518.4725359567
270,2017-12-02 06:03:15,2017-12-02 06:18:32,1824240.722617164
271,2017-12-02 07:22:10,2017-12-02 07:36:11,1622024.3862931575
272,2017-12-02 09:22:28,2017-12-02 09:37:31,1597406.0311710858
273,2017-12-02 13:23:58,2017-12-02 14:22:23,3354226.1045266003
274,2017-12-02 17:39:39,2017-12-02 18:47:31,4196384.840412435
275,2017-12-02 19:34:30,2017-12-02 19:47:26,1402011.474559638
276,2017-12-02 23:35:22,2017-12-03 00:00:33,3817571.843761317
277,2017-12-03 06:23:39,2017-12-03 06:32:30,804119.521102805
278,2017-12-03 08:46:22,2017-12-03 09:01:05,1220652.6708575361
279,2017-12-03 10:43:14,2017-12-03 10:54:54,1254819.2460971503
280,2017-12-03 12:25:13,2017-12-03 13:36:10,7247357.596928462
281,2017-12-03 14:18:23,2017-12-03 15:00:03,4918391.783363078
282,2017-12-03 17:21:00,2017-12-03 17:54:28,4257163.122540951
283,2017-12-03 18:51:48,2017-12-03 19:41:54,3028006.669094581
284,2017-12-03 20:46:52,2017-12-03 20:49:48,143938.14814814852
285,2017-12-03 23:05:43,2017-12-03 23:16:49,956142.6366958709
286,2017-12-04 06:38:50,2017-12-04 06:48:55,852547.550851969
287,2017-12-04 07:51:08,2017-12-04 08:00:24,875706.8994989453
288,2017-12-04 09:18:28,2017-12-04 09:27:32,850782.8195995319
289,2017-12-04 17:55:10,2017-12-04 18:41:14,1873161.0331026884
290,2017-12-04 21:07:17,2017-12-04 21:16:50,862847.7679760857
291,2017-12-05 06:00:12,2017-12-05 06:16:59,1842031.5149851523
292,2017-12-05 07:27:12,2017-12-05 08:17:38,2354787.912804445
293,2017-12-05 09:28:42,2017-12-05 09:38:29,874114.0760851565
294,2017-12-05 18:05:34,2017-12-05 18:18:19,1030363.0189815855
295,2017-12-05 19:07:32,2017-12-05 19:17:44,911066.041010887
296,2017-12-05 21:08:24,2017-12-05 21:19:37,918035.4181111212
297,2017-12-06 09:30:40,2017-12-06 09:42:07,980269.0524244459
298,2017-12-06 17:57:37,2017-12-06 18:46:45,1840355.008259838
299,2017-12-06 22:02:17,2017-12-06 22:16:55,1145150.7867711834
300,2017-12-07 09:14:07,2017-12-07 09:27:21,1234330.782376726
301,2017-12-07 14:08:20,2017-12-07 14:43:58,5914029.916776011
302,2017-12-07 16:27:23,2017-12-07 17:00:44,5940436.939317446
