timestamps,S1_PID_0C_EngineRPM
2019-09-27 17:22:20.138550043+01:00,1191.0
2019-09-27 17:22:20.338599920+01:00,1076.0
2019-09-27 17:22:20.538749933+01:00,1008.0
2019-09-27 17:22:20.738749981+01:00,971.0
2019-09-27 17:22:20.938899994+01:00,963.0
2019-09-27 17:22:21.138849974+01:00,1360.0
2019-09-27 17:22:21.338700056+01:00,2276.0
2019-09-27 17:22:21.538850069+01:00,2120.0
2019-09-27 17:22:21.738699913+01:00,2200.0
2019-09-27 17:22:21.938699961+01:00,2212.0
2019-09-27 17:22:22.138750076+01:00,2243.0
2019-09-27 17:22:22.338749886+01:00,2220.0
2019-09-27 17:22:22.539099932+01:00,2230.0
2019-09-27 17:22:22.738749981+01:00,2252.0
2019-09-27 17:22:22.938800097+01:00,2254.0
2019-09-27 17:22:23.138799906+01:00,2255.0
2019-09-27 17:22:23.338999987+01:00,2268.0
2019-09-27 17:22:23.538800001+01:00,2278.0
2019-09-27 17:22:23.738850117+01:00,2291.0
2019-09-27 17:22:23.938849926+01:00,2309.0
2019-09-27 17:22:24.140399933+01:00,2335.0
2019-09-27 17:22:24.338949919+01:00,2349.0
2019-09-27 17:22:24.538949966+01:00,2360.0
2019-09-27 17:22:24.739000082+01:00,2374.0
2019-09-27 17:22:24.939049959+01:00,2388.0
2019-09-27 17:22:25.139050007+01:00,2399.0
2019-09-27 17:22:25.339299917+01:00,2423.0
2019-09-27 17:22:25.539350033+01:00,2434.0
2019-09-27 17:22:25.739150047+01:00,2455.0
2019-09-27 17:22:25.939199924+01:00,2468.0
2019-09-27 17:22:26.138999939+01:00,2482.0
2019-09-27 17:22:26.338999987+01:00,2405.0
2019-09-27 17:22:26.539050102+01:00,2194.0
2019-09-27 17:22:26.739099979+01:00,1957.0
2019-09-27 17:22:26.939100027+01:00,1713.0
2019-09-27 17:22:27.139100075+01:00,1461.0
2019-09-27 17:22:27.338999987+01:00,1204.0
2019-09-27 17:22:27.539050102+01:00,1094.0
2019-09-27 17:22:27.739300013+01:00,1059.0
2019-09-27 17:22:27.939199924+01:00,1300.0
2019-09-27 17:22:28.139149904+01:00,2013.0
2019-09-27 17:22:28.339099884+01:00,1881.0
2019-09-27 17:22:28.539200068+01:00,1946.0
2019-09-27 17:22:28.739200115+01:00,1960.0
2019-09-27 17:22:28.939249992+01:00,1932.0
2019-09-27 17:22:29.139250040+01:00,1941.0
2019-09-27 17:22:29.339250088+01:00,1949.0
2019-09-27 17:22:29.539249897+01:00,1960.0
2019-09-27 17:22:29.739150047+01:00,1979.0
2019-09-27 17:22:29.939199924+01:00,1985.0
2019-09-27 17:22:30.139199972+01:00,1983.0
2019-09-27 17:22:30.339349985+01:00,2003.0
2019-09-27 17:22:30.539350033+01:00,2009.0
2019-09-27 17:22:30.739399910+01:00,2015.0
2019-09-27 17:22:30.939349890+01:00,2015.0
2019-09-27 17:22:31.139400005+01:00,2030.0
2019-09-27 17:22:31.339400053+01:00,2035.0
2019-09-27 17:22:31.539400101+01:00,2044.0
2019-09-27 17:22:31.739300013+01:00,2050.0
2019-09-27 17:22:31.939399958+01:00,2055.0
2019-09-27 17:22:32.139450073+01:00,2051.0
2019-09-27 17:22:32.339449883+01:00,2098.0
2019-09-27 17:22:32.539449930+01:00,2096.0
2019-09-27 17:22:32.739449978+01:00,2074.0
2019-09-27 17:22:32.939450026+01:00,2064.0
2019-09-27 17:22:33.139549971+01:00,2067.0
2019-09-27 17:22:33.339499950+01:00,2064.0
2019-09-27 17:22:33.539499998+01:00,2063.0
2019-09-27 17:22:33.739550114+01:00,2057.0
2019-09-27 17:22:33.939549923+01:00,2063.0
2019-09-27 17:22:34.139600039+01:00,2057.0
2019-09-27 17:22:34.339750051+01:00,2061.0
2019-09-27 17:22:34.539599895+01:00,2053.0
2019-09-27 17:22:34.739599943+01:00,2054.0
2019-09-27 17:22:34.939599991+01:00,2050.0
2019-09-27 17:22:35.139650106+01:00,2049.0
2019-09-27 17:22:35.339649916+01:00,2049.0
2019-09-27 17:22:35.539649963+01:00,2043.0
2019-09-27 17:22:35.739650011+01:00,2047.0
2019-09-27 17:22:35.939699888+01:00,2028.0
2019-09-27 17:22:36.139699936+01:00,2018.0
2019-09-27 17:22:36.339699984+01:00,2002.0
2019-09-27 17:22:36.539750099+01:00,2003.0
2019-09-27 17:22:36.739749908+01:00,1990.0
2019-09-27 17:22:36.939699888+01:00,1997.0
2019-09-27 17:22:37.139750004+01:00,1985.0
