timestamps,response,length,service
2019-09-27 17:20:15.790149927+01:00,4,3,1
2019-09-27 17:20:15.830049992+01:00,4,4,1
2019-09-27 17:20:15.910099983+01:00,4,3,1
2019-09-27 17:20:15.930449963+01:00,4,4,1
2019-09-27 17:20:15.950249910+01:00,4,3,1
2019-09-27 17:20:15.990050077+01:00,4,3,1
2019-09-27 17:20:16.030200005+01:00,4,4,1
2019-09-27 17:20:16.069999933+01:00,4,3,1
2019-09-27 17:20:16.110100031+01:00,4,3,1
2019-09-27 17:20:16.130500077+01:00,4,4,1
2019-09-27 17:20:16.150249958+01:00,4,3,1
2019-09-27 17:20:16.186150074+01:00,4,3,1
2019-09-27 17:20:16.230099916+01:00,4,4,1
2019-09-27 17:20:16.311350107+01:00,4,3,1
2019-09-27 17:20:16.330250025+01:00,4,4,1
2019-09-27 17:20:16.349999905+01:00,4,3,1
2019-09-27 17:20:16.390150070+01:00,4,3,1
2019-09-27 17:20:16.430500031+01:00,4,4,1
2019-09-27 17:20:16.510050058+01:00,4,3,1
2019-09-27 17:20:16.530250071+01:00,4,4,1
2019-09-27 17:20:16.549999952+01:00,4,3,1
2019-09-27 17:20:16.590049982+01:00,4,3,1
2019-09-27 17:20:16.630199909+01:00,4,4,1
2019-09-27 17:20:16.710099936+01:00,4,3,1
2019-09-27 17:20:16.731300116+01:00,4,4,1
2019-09-27 17:20:16.750099897+01:00,4,3,1
2019-09-27 17:20:16.790050030+01:00,4,3,1
2019-09-27 17:20:16.830250025+01:00,4,4,1
2019-09-27 17:20:16.910049915+01:00,4,3,1
2019-09-27 17:20:16.930150032+01:00,4,4,1
2019-09-27 17:20:16.950150013+01:00,4,3,1
2019-09-27 17:20:16.990149975+01:00,4,3,1
2019-09-27 17:20:17.030649900+01:00,4,4,1
2019-09-27 17:20:17.070349932+01:00,4,3,1
2019-09-27 17:20:17.110100031+01:00,4,3,1
2019-09-27 17:20:17.130300045+01:00,4,4,1
2019-09-27 17:20:17.150099993+01:00,4,3,1
2019-09-27 17:20:17.190200090+01:00,4,3,1
2019-09-27 17:20:17.226049900+01:00,4,4,1
2019-09-27 17:20:17.310199976+01:00,4,3,1
2019-09-27 17:20:17.330300093+01:00,4,4,1
2019-09-27 17:20:17.350399971+01:00,4,3,1
2019-09-27 17:20:17.390300035+01:00,4,3,1
2019-09-27 17:20:17.430249929+01:00,4,4,1
2019-09-27 17:20:17.510200024+01:00,4,3,1
2019-09-27 17:20:17.530600070+01:00,4,4,1
2019-09-27 17:20:17.550299883+01:00,4,3,1
2019-09-27 17:20:17.590250015+01:00,4,3,1
2019-09-27 17:20:17.630300045+01:00,4,4,1
2019-09-27 17:20:17.710200071+01:00,4,3,1
2019-09-27 17:20:17.730350018+01:00,4,4,1
2019-09-27 17:20:17.750200033+01:00,4,3,1
2019-09-27 17:20:17.790199995+01:00,4,3,1
2019-09-27 17:20:17.826050043+01:00,4,4,1
2019-09-27 17:20:17.910200119+01:00,4,3,1
2019-09-27 17:20:17.930350065+01:00,4,4,1
2019-09-27 17:20:17.950099945+01:00,4,3,1
2019-09-27 17:20:17.990350008+01:00,4,3,1
2019-09-27 17:20:18.030499935+01:00,4,4,1
2019-09-27 17:20:18.071300030+01:00,4,3,1
2019-09-27 17:20:18.110150099+01:00,4,3,1
2019-09-27 17:20:18.130399941+01:00,4,4,1
2019-09-27 17:20:18.150249958+01:00,4,3,1
2019-09-27 17:20:18.190150023+01:00,4,3,1
2019-09-27 17:20:18.230350018+01:00,4,4,1
2019-09-27 17:20:18.310149908+01:00,4,3,1
2019-09-27 17:20:18.330600023+01:00,4,4,1
2019-09-27 17:20:18.345700026+01:00,4,3,1
2019-09-27 17:20:18.390150070+01:00,4,3,1
2019-09-27 17:20:18.430399895+01:00,4,4,1
2019-09-27 17:20:18.510149956+01:00,4,3,1
2019-09-27 17:20:18.530450106+01:00,4,4,1
2019-09-27 17:20:18.550250053+01:00,4,3,1
2019-09-27 17:20:18.590250015+01:00,4,3,1
2019-09-27 17:20:18.630500078+01:00,4,4,1
2019-09-27 17:20:18.710400105+01:00,4,3,1
2019-09-27 17:20:18.730449915+01:00,4,4,1
2019-09-27 17:20:18.750299931+01:00,4,3,1
2019-09-27 17:20:18.790149927+01:00,4,3,1
2019-09-27 17:20:18.826149940+01:00,4,4,1
2019-09-27 17:20:18.910449982+01:00,4,3,1
2019-09-27 17:20:18.930350065+01:00,4,4,1
2019-09-27 17:20:18.950299978+01:00,4,3,1
2019-09-27 17:20:18.990250111+01:00,4,3,1
2019-09-27 17:20:19.030450106+01:00,4,4,1
2019-09-27 17:20:19.070199966+01:00,4,3,1
2019-09-27 17:20:19.110300064+01:00,4,3,1
2019-09-27 17:20:19.130549907+01:00,4,4,1
2019-09-27 17:20:19.150199890+01:00,4,3,1
2019-09-27 17:20:19.190200090+01:00,4,3,1
2019-09-27 17:20:19.230449915+01:00,4,4,1
2019-09-27 17:20:19.311450005+01:00,4,3,1
2019-09-27 17:20:19.330399990+01:00,4,4,1
2019-09-27 17:20:19.350199938+01:00,4,3,1
2019-09-27 17:20:19.390249968+01:00,4,3,1
2019-09-27 17:20:19.430399895+01:00,4,4,1
2019-09-27 17:20:19.510499954+01:00,4,3,1
2019-09-27 17:20:19.530299902+01:00,4,4,1
2019-09-27 17:20:19.550299883+01:00,4,3,1
2019-09-27 17:20:19.590199947+01:00,4,3,1
2019-09-27 17:20:19.630199909+01:00,4,4,1
2019-09-27 17:20:19.710249901+01:00,4,3,1
