timestamps,S1_PID_0B_IntakeManiAbsPress
2019-09-27 17:23:04.321799994+01:00,24
2019-09-27 17:23:04.521800041+01:00,24
2019-09-27 17:23:04.721699953+01:00,25
2019-09-27 17:23:04.921849966+01:00,25
2019-09-27 17:23:05.121750116+01:00,25
2019-09-27 17:23:05.321650028+01:00,25
2019-09-27 17:23:05.521650076+01:00,27
2019-09-27 17:23:05.721649885+01:00,24
2019-09-27 17:23:05.921649933+01:00,24
2019-09-27 17:23:06.121700048+01:00,27
2019-09-27 17:23:06.321949959+01:00,30
2019-09-27 17:23:06.521749973+01:00,31
2019-09-27 17:23:06.722949982+01:00,59
2019-09-27 17:23:06.921700001+01:00,88
2019-09-27 17:23:07.121750116+01:00,97
2019-09-27 17:23:07.321799994+01:00,97
2019-09-27 17:23:07.521800041+01:00,96
2019-09-27 17:23:07.721899986+01:00,96
2019-09-27 17:23:07.921799898+01:00,95
2019-09-27 17:23:08.121850014+01:00,95
2019-09-27 17:23:08.322099924+01:00,95
2019-09-27 17:23:08.521850108+01:00,96
2019-09-27 17:23:08.722199917+01:00,97
2019-09-27 17:23:08.921900034+01:00,97
2019-09-27 17:23:09.122149944+01:00,96
2019-09-27 17:23:09.322000027+01:00,96
2019-09-27 17:23:09.522150040+01:00,95
2019-09-27 17:23:09.721899986+01:00,95
2019-09-27 17:23:09.921950102+01:00,94
2019-09-27 17:23:10.122050047+01:00,93
2019-09-27 17:23:10.322000027+01:00,92
2019-09-27 17:23:10.522099972+01:00,90
2019-09-27 17:23:10.722100019+01:00,90
2019-09-27 17:23:10.922049999+01:00,89
2019-09-27 17:23:11.122149944+01:00,88
2019-09-27 17:23:11.322149992+01:00,88
2019-09-27 17:23:11.522200108+01:00,50
2019-09-27 17:23:11.722100019+01:00,23
2019-09-27 17:23:11.922250032+01:00,23
2019-09-27 17:23:12.122149944+01:00,24
2019-09-27 17:23:12.322400093+01:00,23
2019-09-27 17:23:12.522150040+01:00,23
2019-09-27 17:23:12.722150087+01:00,24
2019-09-27 17:23:12.922149897+01:00,25
2019-09-27 17:23:13.122400045+01:00,23
2019-09-27 17:23:13.322200060+01:00,28
2019-09-27 17:23:13.522350073+01:00,30
2019-09-27 17:23:13.722199917+01:00,31
2019-09-27 17:23:13.922199965+01:00,33
2019-09-27 17:23:14.122250080+01:00,61
2019-09-27 17:23:14.323349953+01:00,83
2019-09-27 17:23:14.522300004+01:00,93
2019-09-27 17:23:14.722549915+01:00,95
2019-09-27 17:23:14.922300100+01:00,95
2019-09-27 17:23:15.122499943+01:00,95
2019-09-27 17:23:15.322350025+01:00,95
2019-09-27 17:23:15.522350073+01:00,95
2019-09-27 17:23:15.723400116+01:00,94
2019-09-27 17:23:15.922600031+01:00,94
2019-09-27 17:23:16.122400045+01:00,94
2019-09-27 17:23:16.322499990+01:00,93
2019-09-27 17:23:16.522399902+01:00,93
2019-09-27 17:23:16.722399950+01:00,93
2019-09-27 17:23:16.922399998+01:00,93
2019-09-27 17:23:17.122600079+01:00,93
2019-09-27 17:23:17.322550058+01:00,92
2019-09-27 17:23:17.522500038+01:00,92
2019-09-27 17:23:17.722549915+01:00,92
2019-09-27 17:23:17.922499895+01:00,92
2019-09-27 17:23:18.122550011+01:00,92
2019-09-27 17:23:18.322550058+01:00,92
2019-09-27 17:23:18.522550105+01:00,94
2019-09-27 17:23:18.722700119+01:00,87
2019-09-27 17:23:18.922600031+01:00,80
2019-09-27 17:23:19.122600079+01:00,84
2019-09-27 17:23:19.322799921+01:00,84
2019-09-27 17:23:19.522599936+01:00,84
2019-09-27 17:23:19.722650051+01:00,88
2019-09-27 17:23:19.922650099+01:00,89
2019-09-27 17:23:20.122900009+01:00,90
2019-09-27 17:23:20.322700024+01:00,91
2019-09-27 17:23:20.522799969+01:00,91
2019-09-27 17:23:20.722949982+01:00,91
2019-09-27 17:23:20.922800064+01:00,91
2019-09-27 17:23:21.122849941+01:00,91
2019-09-27 17:23:21.322900057+01:00,91
2019-09-27 17:23:21.523799896+01:00,91
