sampno,vehno
1451866,1.0
1451866,2.0
1452518,1.0
1452518,2.0
1453419,1.0
1453419,2.0
1453419,3.0
1453480,1.0
1453480,2.0
1453480,3.0
1453825,1.0
1453825,2.0
1454012,1.0
1454012,2.0
1454118,1.0
1454118,2.0
1454179,1.0
1454179,2.0
1454179,3.0
1454224,1.0
1454224,2.0
1454224,3.0
1454224,4.0
1454318,1.0
1454404,1.0
1454404,2.0
1454564,1.0
1455873,1.0
1455873,2.0
1455873,3.0
1455915,1.0
1455915,2.0
1456167,1.0
1456311,1.0
1456311,2.0
1456486,1.0
1456486,2.0
1456834,1.0
1456834,2.0
1457245,1.0
1457245,2.0
1457788,1.0
1457788,2.0
1458232,1.0
1459010,1.0
1459776,1.0
1459776,2.0
1459907,1.0
1460101,1.0
1460101,2.0
1460883,1.0
1461604,1.0
1461936,1.0
1461936,2.0
1462047,1.0
1462047,2.0
1462266,1.0
1462266,2.0
1462662,1.0
1462780,1.0
1462780,2.0
1462881,1.0
1462957,1.0
1462957,2.0
1463339,1.0
1463539,1.0
1463539,2.0
1463539,3.0
1463539,4.0
1463539,5.0
1463912,1.0
1463912,2.0
1463912,3.0
1464567,1.0
1464567,2.0
1464637,1.0
1464637,2.0
1464637,3.0
1464904,1.0
1464904,2.0
1465364,1.0
1465620,1.0
1465620,2.0
1466133,1.0
1466133,2.0
1466133,3.0
1467065,1.0
1467065,2.0
1467065,3.0
1467349,1.0
1467987,1.0
1467987,2.0
1468055,1.0
1468055,2.0
1469698,1.0
1469698,2.0
1469840,1.0
1470333,1.0
1470333,2.0
1470800,1.0
1470800,2.0
1471173,1.0
1471173,2.0
1471173,3.0
1471173,4.0
1471173,5.0
1471197,1.0
1471197,2.0
1471282,1.0
1471282,2.0
1471282,3.0
1802304,2.0
1471282,4.0
1472715,1.0
1472715,2.0
1472715,3.0
1473124,1.0
1473378,1.0
1474217,1.0
1474217,2.0
1474758,1.0
1474758,2.0
1476292,1.0
1476292,2.0
1476629,1.0
1476629,2.0
1476940,1.0
1476940,2.0
1476940,3.0
1477926,1.0
1477926,2.0
1478280,1.0
1478544,1.0
1478544,2.0
1479210,1.0
1479253,1.0
1479372,1.0
1479372,2.0
1479786,1.0
1479839,1.0
1479839,2.0
1479839,3.0
1480243,1.0
1480243,2.0
1480683,1.0
1480683,2.0
1481645,1.0
1481645,2.0
1481716,1.0
1481840,1.0
1481840,2.0
1481840,3.0
1481840,4.0
1482019,1.0
1482019,2.0
1482019,3.0
1482019,4.0
1482019,5.0
1482078,1.0
1482078,2.0
1483110,1.0
1483110,2.0
1483193,1.0
1483461,1.0
1483461,2.0
1483684,1.0
1484541,1.0
1484541,2.0
1484656,1.0
1484656,2.0
1484840,1.0
1484840,2.0
1484849,1.0
1484849,2.0
1484849,3.0
1484865,1.0
1485546,1.0
1485546,2.0
1485813,1.0
1486573,1.0
1486805,1.0
1487977,1.0
1488347,1.0
1488347,2.0
1488347,3.0
1490219,1.0
1490219,2.0
1490274,1.0
1490274,2.0
1490274,3.0
1490274,4.0
1490945,1.0
1490945,2.0
1491338,1.0
1491338,2.0
1491458,1.0
1491458,2.0
1491484,1.0
1491484,2.0
1491484,3.0
1492288,1.0
1492288,2.0
1492400,1.0
1492400,2.0
1492531,1.0
1492531,2.0
1492712,1.0
1492712,2.0
1492712,3.0
1492977,1.0
1492977,2.0
1493004,1.0
1493299,1.0
1493299,2.0
1493299,3.0
1493383,1.0
1494005,1.0
1494537,1.0
1495050,1.0
1495050,2.0
1495224,1.0
1495224,2.0
1495568,1.0
1495881,1.0
1496897,1.0
1496897,2.0
1497443,1.0
1497443,2.0
1498020,1.0
1498020,2.0
1498035,1.0
1498035,2.0
1498035,3.0
1499119,1.0
1499119,2.0
1499375,1.0
1499375,2.0
1499375,3.0
1499506,1.0
1499518,1.0
1499518,2.0
2719536,4.0
1499518,3.0
1499518,4.0
1500488,1.0
1500488,2.0
1501677,1.0
1501677,2.0
1501786,1.0
1501814,1.0
1502042,1.0
1502285,1.0
1502285,2.0
1502296,1.0
1502296,2.0
1502408,1.0
1502557,1.0
1502557,2.0
1502557,3.0
1502557,4.0
1502707,1.0
1502761,1.0
1502761,2.0
1503211,1.0
1503211,2.0
1503344,1.0
1503344,2.0
1503344,3.0
1503344,4.0
1503365,1.0
1503365,2.0
1503619,1.0
1504148,1.0
1504148,2.0
1504236,1.0
1504236,2.0
1504236,3.0
1504236,4.0
1504495,1.0
1523309,1.0
1504681,1.0
1504681,2.0
1504681,3.0
1504786,1.0
1504786,2.0
1505425,1.0
1505488,1.0
1505488,2.0
1507159,1.0
1507161,1.0
1507161,2.0
1507161,3.0
1507161,4.0
1507161,5.0
1507161,6.0
1507399,1.0
1508142,1.0
1508814,1.0
1508814,2.0
1509364,1.0
1509662,1.0
1509800,1.0
1510708,1.0
1510708,2.0
1510708,3.0
1511133,1.0
1511640,1.0
1511640,2.0
1511640,3.0
1511640,4.0
1511640,5.0
1511944,1.0
1512573,1.0
1512573,2.0
1513772,1.0
1514558,1.0
1514558,2.0
1514658,1.0
1514658,2.0
1514867,1.0
1514867,2.0
1514867,3.0
1514867,4.0
1515932,1.0
1517030,1.0
1517043,1.0
1517823,1.0
1517823,2.0
1518399,1.0
1518399,2.0
1518403,1.0
1518403,2.0
1518504,1.0
1518504,2.0
1518504,3.0
1518966,1.0
1519267,1.0
1519314,1.0
1519314,2.0
1519314,3.0
1519314,4.0
1519481,1.0
1519481,2.0
1519714,1.0
1519714,2.0
1519735,1.0
1519735,2.0
1520513,1.0
1520834,1.0
1520834,2.0
1520834,3.0
1521137,1.0
1521390,1.0
1521390,2.0
1521390,3.0
1521447,1.0
1521447,2.0
1521447,3.0
1521546,1.0
1521561,1.0
1521561,2.0
1521655,1.0
1521655,2.0
1521872,1.0
1521872,2.0
1521944,1.0
1521944,2.0
1522757,1.0
1523106,1.0
1523106,2.0
1523106,3.0
1523106,4.0
1523223,1.0
1523223,2.0
1523589,1.0
1523589,2.0
1523762,1.0
1523762,2.0
1523823,1.0
1523881,1.0
1523924,1.0
1523924,2.0
1523924,3.0
1525007,1.0
1525127,1.0
1525127,2.0
1525411,1.0
1525411,2.0
1525411,3.0
1525411,4.0
1525599,1.0
1525599,2.0
1525714,1.0
1526058,1.0
1526210,1.0
1526210,2.0
1526358,1.0
1527855,1.0
1527855,2.0
1527920,1.0
1527920,2.0
1528191,1.0
1528191,2.0
1528479,1.0
1528547,1.0
1528547,2.0
1528566,1.0
1528566,2.0
1528566,3.0
1529221,1.0
1530044,1.0
1530044,2.0
1530538,1.0
1531094,1.0
1531094,2.0
1531533,1.0
1532601,1.0
1532601,2.0
1535360,1.0
1535783,1.0
1535783,2.0
1537473,1.0
1551197,1.0
1559051,1.0
1559051,2.0
1568388,1.0
1569164,1.0
1569164,2.0
1569164,3.0
1571251,1.0
1571251,2.0
1576128,1.0
1582780,1.0
1582780,2.0
1584206,1.0
1586490,1.0
1586490,2.0
1591457,1.0
1593832,1.0
1593832,2.0
1616003,1.0
1616003,2.0
1634504,1.0
1643075,1.0
1644638,1.0
1644638,2.0
1646187,1.0
1652411,1.0
1652411,2.0
1656512,1.0
1656512,2.0
1656512,3.0
1662005,1.0
1662005,2.0
1664168,1.0
1664168,2.0
1668710,1.0
1668710,2.0
1673422,1.0
1673422,2.0
1675337,1.0
1675346,1.0
